Record Length,10000,Points,-100.0000015E-3,548.000037670E-3,,Record Length,10000,Points,-100.0000015E-3,720.000028610E-3,
Sample Interval,19.9999995E-6,s,-99.980004132E-3,540.000021458E-3,,Sample Interval,19.9999995E-6,s,-99.980004132E-3,720.000028610E-3,
Trigger Point,5.00000044E3,Samples,-99.959999323E-3,532.000005245E-3,,Trigger Point,5.00000044E3,Samples,-99.959999323E-3,720.000028610E-3,
,,,-99.940001965E-3,532.000005245E-3,,,,,-99.940001965E-3,840.000033379E-3,
,,,-99.920004606E-3,540.000021458E-3,,,,,-99.920004606E-3,760.000050068E-3,
,,,-99.899999797E-3,556.000053883E-3,,,,,-99.899999797E-3,720.000028610E-3,
Source,CH1,,-99.880002439E-3,556.000053883E-3,,Source,CH2,,-99.880002439E-3,680.000066757E-3,
Vertical Units,V,,-99.860005081E-3,548.000037670E-3,,Vertical Units,V,,-99.860005081E-3,640.000045300E-3,
Vertical Scale,200.00000950E-3,,-99.840000272E-3,540.000021458E-3,,Vertical Scale,1.0000001,,-99.840000272E-3,720.000028610E-3,
Vertical Offset,0,,-99.820002913E-3,548.000037670E-3,,Vertical Offset,0,,-99.820002913E-3,680.000066757E-3,
Horizontal Units,s,,-99.799998105E-3,540.000021458E-3,,Horizontal Units,s,,-99.799998105E-3,680.000066757E-3,
Horizontal Scale,19.9999995E-3,,-99.780000746E-3,540.000021458E-3,,Horizontal Scale,19.9999995E-3,,-99.780000746E-3,760.000050068E-3,
Pt Fmt,Y,,-99.760003388E-3,532.000005245E-3,,Pt Fmt,Y,,-99.760003388E-3,640.000045300E-3,
Yzero,-2.1800000,,-99.739998579E-3,532.000005245E-3,,Yzero,-1.4000000,,-99.739998579E-3,680.000066757E-3,
Probe Atten,1.000000,,-99.720001221E-3,556.000053883E-3,,Probe Atten,1.000000,,-99.720001221E-3,760.000050068E-3,
,,,-99.700003862E-3,540.000021458E-3,,,,,-99.700003862E-3,720.000028610E-3,
Note,DPO3032 - 15:37:22   07/11/2024,,-99.679999053E-3,540.000021458E-3,,Note,DPO3032 - 15:37:22   07/11/2024,,-99.679999053E-3,640.000045300E-3,
,,,-99.660001695E-3,532.000005245E-3,,,,,-99.660001695E-3,640.000045300E-3,
,,,-99.640004337E-3,540.000021458E-3,,,,,-99.640004337E-3,720.000028610E-3,
,,,-99.619999528E-3,532.000005245E-3,,,,,-99.619999528E-3,640.000045300E-3,
,,,-99.600002170E-3,540.000021458E-3,,,,,-99.600002170E-3,640.000045300E-3,
,,,-99.580004811E-3,540.000021458E-3,,,,,-99.580004811E-3,680.000066757E-3,
,,,-99.560000002E-3,540.000021458E-3,,,,,-99.560000002E-3,680.000066757E-3,
,,,-99.540002644E-3,540.000021458E-3,,,,,-99.540002644E-3,720.000028610E-3,
,,,-99.519997835E-3,548.000037670E-3,,,,,-99.519997835E-3,600.000023842E-3,
,,,-99.500000477E-3,548.000037670E-3,,,,,-99.500000477E-3,640.000045300E-3,
,,,-99.480003119E-3,548.000037670E-3,,,,,-99.480003119E-3,640.000045300E-3,
,,,-99.459998310E-3,548.000037670E-3,,,,,-99.459998310E-3,680.000066757E-3,
,,,-99.440000951E-3,540.000021458E-3,,,,,-99.440000951E-3,640.000045300E-3,
,,,-99.420003593E-3,548.000037670E-3,,,,,-99.420003593E-3,640.000045300E-3,
